time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,30,11,4,2
2026-06-25 00:00:00+00:00,29,7,1,1
2026-06-26 00:00:00+00:00,5,5,6,2
2026-06-27 00:00:00+00:00,11,6,0,0
2026-06-28 00:00:00+00:00,14,5,0,0
2026-06-29 00:00:00+00:00,3,3,4,1
2026-06-30 00:00:00+00:00,1,1,0,0
2026-07-01 00:00:00+00:00,2,2,1,1
2026-07-02 00:00:00+00:00,25,12,1,1
2026-07-03 00:00:00+00:00,15,6,1,1
2026-07-04 00:00:00+00:00,30,12,0,0
2026-07-05 00:00:00+00:00,8,4,2,1
2026-07-06 00:00:00+00:00,17,8,5,2
2026-07-07 00:00:00+00:00,38,13,0,0
